choices,labels,question
"['A) lumberyard', 'B) synagogue', 'C) floor', 'D) carpet', 'E) hardware store']",D,What could go on top of wood?
"['A) sadness', 'B) anxiety', 'C) inspiration', 'D) discomfort', 'E) insights']",C,"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?"
"['A) indestructible', 'B) durable', 'C) undestroyable', 'D) indestructible', 'E) unbreakable']",D,"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?"
"['A) rest area', 'B) school', 'C) stadium', 'D) apartment', 'E) hospital']",D,Where could you find a toilet that only friends can use?
"['A) clumsy', 'B) ineffectual', 'C) dull', 'D) clumsy', 'E) stupid']",E,"What is someone who isn't clever, bright, or competent called?"
"['A) raise children', 'B) have children', 'C) photo copy', 'D) offspring', 'E) accidently got pregnant somehow']",D,When wildlife reproduce we often refer to what comes out as what?
"['A) forrest', 'B) barn', 'C) public office', 'D) out of doors', 'E) freezer']",B,"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?"
"['A) new perspective', 'B) entertained', 'C) understanding', 'D) hunger', 'E) tired eyes']",A,Blue read material outside of his comfort zone because he wanted to gain what?
"['A) vocation', 'B) new job', 'C) michigan', 'D) working hard', 'E) manual']",B,After he got hired he hoped for success at his what?
"['A) indictment', 'B) crime', 'C) violence', 'D) lie', 'E) go to jail']",B,Committing perjury is a serious what?
"['A) eat', 'B) hasten', 'C) antedate', 'D) bring forward', 'E) advance']",B,If you are prone to postpone work what will you have to do in order to finish on time?
"['A) library', 'B) subway station', ""C) county engineer's office"", 'D) super market', 'E) home']",A,James wanted to find an old underground map from the 50s.  Where might he look for one?
"['A) take time', 'B) dawdle', 'C) go slowly', 'D) ocean', 'E) slow down']",E,"Sean was in a rush to get home, but the light turned yellow and he was forced to do what?"
"['A) have patience', 'B) get in line', 'C) sing', 'D) stand in line', 'E) turn left']",D,Where would a person be doing when having to wait their turn?
"['A) satisfaction', 'B) heart', 'C) feel better', 'D) pay', 'E) happiness']",E,"She was always helping at the senior center, it brought her what?"
"['A) keep cloesd', 'B) train', 'C) ignition switch', 'D) drawer', 'E) firearm']",C,"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?"
"['A) beat', 'B) direct traffic', 'C) city', 'D) street', 'E) president']",C,Who is a police officer likely to work for?
"['A) quandry', 'B) refrigerator', 'C) oven', 'D) night stand', 'E) bakery']",B,"If you have leftover cake, where would you put it?"
"['A) whirlpool bath', 'B) coffee cup', 'C) cup', 'D) soft drink', 'E) puddle']",A,"A human wants to submerge himself in water, what should he use?"
"['A) facade', 'B) front door', 'C) doorway', 'D) entrance porch', 'E) hallway']",B,Where is a doormat likely to be in front of?
"['A) rock', 'B) tropical rainforest', 'C) jazz club', 'D) new mexico', 'E) rocky places']",B,Bob the lizard lives in a warm place with lots of water.  Where does he probably live?
"['A) control people', 'B) pay bills', 'C) hurt people', 'D) buy food', 'E) get things']",B,August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?
"['A) chickens', 'B) google', 'C) newspaper', 'D) online', 'E) manual']",E,"He needed more information to fix it, so he consulted the what?"
"['A) art show', 'B) wall', 'C) newspaper', 'D) car', 'E) table']",E,Where can you put a picture frame when it's not hung vertically?
"['A) lose money', 'B) fun', 'C) have no money', 'D) broken law', 'E) relaxation']",D,James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?
"['A) anxiety and fear', 'B) increased workload', 'C) praise', 'D) less sleep', 'E) being employed']",E,What is the result of applying for  job?
"['A) get money', 'B) have money', 'C) bring cash', 'D) go to market', 'E) bring cash']",A,What must someone do before they shop?
"['A) music store', 'B) obesity', 'C) symphony orchestra', 'D) ochestra', 'E) violin case']",E,"Because John was first violin, he had to bring something important to work ever day. What did he need to bring to work?"
"['A) at hotel', 'B) kitchen', 'C) library', 'D) telephone booth', 'E) house']",E,What is a place that usually does not have an elevator and that sometimes has a telephone book?
"['A) fish market', 'B) pet shop', 'C) fishmongers', 'D) intertidal zone', 'E) obesity']",C,Who is likely to be excited about a crab?
"['A) pants shop', 'B) on planet earth', 'C) dress shop', 'D) school', 'E) train wreck']",C,Where can a human find clothes that aren't pants?
"['A) a seizure', 'B) slurred speech', 'C) death', 'D) forgetfulness', 'E) pass out']",B,"If I was getting drunk, and people couldn't understand me, what might I be having?"
"['A) time', 'B) accomplishing', 'C) working', 'D) momentum', 'E) tiredness']",D,"When a person is beginning work, what are they building?"
"['A) fall down', 'B) breathe', 'C) play tag', 'D) be dismembered by a chainsaw', 'E) become adult']",C,"A child wants to play, what would they likely want?"
"['A) social life', 'B) friendship', 'C) eye contact', 'D) get tired of', 'E) learn lessons from']",D,Talking to the same person about the same thing over and over again is something someone can what?
"['A) movie theatre', 'B) bowling alley', 'C) factory', 'D) store', 'E) classroom']",E,The teacher doesn't tolerate noise during a test in their what?
"['A) california', 'B) countryside', 'C) big town', 'D) florida', 'E) america']",B,"The freeway had no traffic and few buildings, where is it?"
"['A) watching television', 'B) good', 'C) cinema', ""D) friend's house"", 'E) fairgrounds']",D,Where would you go if you wanted to have fun with a few people?
"['A) bland', 'B) lifeless', 'C) sandy', 'D) neutral', 'E) freezing']",B,"If there is a place that is hot and arid, what could it be?"
"['A) hear news', 'B) read book', 'C) see favorite show', 'D) comedy show', 'E) go somewhere']",A,What is likely to satisfy someone's curiosity?
"['A) in my pocket', 'B) michigan', 'C) new york city', 'D) restaurant', 'E) public house']",B,If you are in a bar in a glove shaped state where are you?
"['A) hell', 'B) school', 'C) indoors', 'D) internet cafe', 'E) house']",E,Where would a computer user be using their own computer?
"['A) maritime', 'B) bodies of water', 'C) saltwater', 'D) galapagos', 'E) fish market']",C,Crabs live in what sort of environment?
"['A) tree', 'B) in a jar', 'C) pet shops', 'D) feild', 'E) tropical forest']",D,Where can you find a snake in tall grass?
"['A) state park', 'B) bus stop', 'C) bus depot', 'D) statue', 'E) train station']",A,What is a place that has a bench nestled in trees?
"['A) eat in restaurant', 'B) make bread', 'C) have lunch', 'D) cook dinner', 'E) friends house']",A,Where is a human likely to go as a result of being hungry?
"['A) fun', 'B) joy', 'C) satisfaction', 'D) confident', 'E) pride']",D,He was beginning to regret taking the fight when he saw how what his opponent was?
"['A) bathtub', 'B) washing area', 'C) hotel', 'D) shower stall', 'E) department store']",A,Where would you find a single shower curtain being used?
"['A) school bus', 'B) boat', 'C) house', 'D) hospital', 'E) school']",C,Where is a good idea but not required to have a fire extinguisher?
"['A) fairy tale', 'B) edinburgh', 'C) germany', 'D) europe', 'E) antarctica']",D,What continent has the most castles?
"['A) have time', 'B) boring', 'C) learn new', 'D) enjoyable', 'E) bored']",E,If you have to read a book that is very dry and long you may become what?
"['A) desk', 'B) windows 95', 'C) office supply store', 'D) see work', 'E) school']",E,Sally used a clipboard to hold her papers while she read off names at the beginning of the day.  Where might she work?
"['A) learn things', 'B) play games', 'C) disneyland', 'D) play with toys', 'E) talking']",D,The kids didn't clean up after they had done what?
"['A) chess game', 'B) scheme', 'C) chess set', 'D) checkers', 'E) north carolina']",A,"Despite the name a pawn can be quite versatile, all the parts are important in a what?"
"['A) punctured', 'B) popular in america', 'C) full of air', 'D) gone', 'E) round']",C,What would not be true about a basketball if it had a hole in it but it did not lose its general shape?
"['A) irritability', 'B) depression', 'C) getting out of bed', 'D) happiness', 'E) discomfort']",B,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?"
"['A) cage', 'B) sky', 'C) countryside', 'D) desert', 'E) windowsill']",C,Where does a wild bird usually live?
"['A) bell cat', 'B) bush', 'C) attic', 'D) countryside', 'E) laboratory']",E,Where would you expect to find white mice?
"['A) free will', 'B) choice', 'C) will', 'D) alcohol', 'E) freedom']",B,John felt that his actions were fate.   Harry said that he could have always made a different what?
"['A) go to jail', 'B) cry', 'C) find god', 'D) guilty conscience', 'E) problems']",C,What could committing murder prevent someone from doing?
"['A) michigan', 'B) walk', 'C) stay still', 'D) stink', 'E) hands']",B,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?"
"['A) abaft', 'B) ship', 'C) winch', 'D) construction site', 'E) building']",D,A crane uses many a steel cable when working a what?
"['A) raise cattle', 'B) grow corn', 'C) farm land', 'D) drive tractors', 'E) supply food']",E,What is the main purpose of farmers?
"['A) piggy bank', 'B) wallet', 'C) toy', 'D) ground', 'E) pocket']",A,Where can I put this penny to save for later?
"['A) wharf', 'B) red lobster', 'C) tidepools', ""D) boss's office"", 'E) stew pot']",E,Where would you put uncooked crab meat?
"['A) sick person', 'B) hospital', 'C) elderly person', 'D) graveyard', ""E) doctor's office""]",A,"The man had a fear of illness, so he never visited friends who were a what?"
"['A) cooking', 'B) cook food', 'C) kitchen', 'D) backpack', 'E) drawer']",D,Where would you put pans if you want to bring them with you?
"['A) knowledge', 'B) knowing', 'C) forgetful', 'D) pleasure', 'E) depression']",B,"If you're remembering something, it's because of your what of it to begin with?"
"['A) amazon basin', ""B) friend's house"", 'C) lift number 3', 'D) research laboratory', 'E) african continent']",E,Which large land mass is home to the most monkeys?
"['A) rest', 'B) insomnia', 'C) making love', 'D) sleeping in', 'E) texting']",C,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?
"['A) health', 'B) fall down', 'C) stagger', 'D) get arrested', 'E) vomit']",C,"The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?"
"['A) ocean', 'B) apartment building', 'C) stairwell', 'D) airport', 'E) room']",C,You'll find a landing at the top of what?
"['A) forget', 'B) oil squeaky hinge', 'C) question authority', 'D) wash dishes', 'E) oik squeaky hinge']",D,"Anybody could be hired in the kitchen, what was needed of them?"
"['A) music store', 'B) create music', 'C) zoo', 'D) music room', 'E) symphony']",E,Where can you find a number of wind instruments together in public?
"['A) urban area', 'B) metropolis', 'C) chicago', 'D) new york city', 'E) toronto']",E,A mountie got off at a subway stop.  What city might he be in?
"['A) did not understand', 'B) accepting', 'C) make clear', 'D) understood', 'E) understanding']",E,What do you want someone to do when you illustrate point?
"['A) happiness', 'B) stress relief', 'C) pleasure', 'D) ocean', 'E) may laugh']",B,Billy set aside a block of time for having fun after work. Why might he do this?
"['A) restless', 'B) active', 'C) lazybutt', 'D) productive', 'E) hard work']",D,"The man in the white suit was very lazy.  He did nothing useful.  Meanwhile, the ban in the blue had put in effort and was very what?"
"['A) keep things', 'B) make friends', 'C) play poker', 'D) conquer opponent', 'E) lie']",B,What would you be unable to do if you have too much greed?
"['A) bed away from home', 'B) wwii bunker', 'C) resort', 'D) las vegas', 'E) city']",E,"It was a long trip from the farm, so he stayed in a hotel when he arrived at the what?"
"['A) freedom', 'B) rich person', 'C) hired help', 'D) in charge', 'E) busy']",B,I did not need a servant.  I was not a what?
"['A) michigan', 'B) amsterdam', 'C) venice', 'D) bridge', 'E) barges to travel on']",D,How would you get from one side of a canal to another?
"['A) newness', 'B) loss of innocence', 'C) enlightenment', 'D) open mind', 'E) smartness']",D,"When learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions"
"['A) share files', 'B) do arithmetic', 'C) turn on', 'D) cost money', 'E) multitask']",E,"An underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?"
"['A) committing perjury', 'B) prosecution', 'C) attack', 'D) getting hurt', 'E) riot']",D,Obstructing justice is sometimes an excuse used for police brutality which causes what in people?
"['A) damaged', 'B) wet clothes', 'C) wear out', 'D) torn', 'E) have fun']",D,While washing clothes they became what when caught on the sharp object?
"['A) maine', 'B) shoe shop', 'C) city', 'D) boston', 'E) coastal cities']",E,Seafood restaurants are used to draw tourists where?
"['A) family tree', 'B) family reunion', 'C) babysitting', ""D) brother's house"", 'E) heirlooms']",A,James's nice asked him about her grandfather. She was interested in learning about what?
"['A) universe', 'B) orbit', 'C) night sky', 'D) outer space', 'E) his wallet']",A,James looked up and saw the start twinkling in the black yonder.  He marveled the sheer number of them and the size of what?
"['A) becoming tired', 'B) tennis elbow', 'C) exercise', 'D) hunger', 'E) victory']",E,What would encourage someone to continue playing tennis?
"['A) deep breathing', 'B) worried', 'C) fall asleep', 'D) invigorating', 'E) feeling good']",C,James found the sound relaxing.   It was so relaxing he almost did what despite his efforts?
"['A) commercial building', 'B) old movie', 'C) small neighborhood', 'D) past', 'E) mall']",C,What regions of a town would you have found a dime store?
"['A) toy store', 'B) michigan', 'C) living room', 'D) attic', 'E) cupboard']",E,Where might an unused chess set be stored?
"['A) wander', 'B) migrate', 'C) scare', 'D) disturb', 'E) agitate']",D,"james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?"
"['A) car', 'B) house', 'C) offices', 'D) park', 'E) movie theatre']",B,"A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?"
"['A) movie dr', 'B) orchestra', 'C) music store', 'D) cat', 'E) symphony']",B,What could be playing a balailaika?
"['A) coming home', 'B) row boat', 'C) board ship', 'D) inflatable raft', 'E) sail boat']",E,"Sailors drive many different types of boats, what type of boat involves their namesake."
"['A) bus stop', 'B) tunnel', 'C) synagogue', 'D) fairy tale', 'E) street corner']",C,Where could a person avoid the rain?
"['A) have choice', 'B) mentally challenged', 'C) own house', 'D) obesity', 'E) lots of space']",E,Why would a person like to have a large house?
"['A) bookstore', 'B) classroom', 'C) discount store', 'D) school room', 'E) bedside table']",C,Where will a cheap book be found?
"['A) internet cafe', 'B) sporting event', 'C) pressing wrong buttons', 'D) obesity', 'E) hockey game']",B,John and James are idiots. They bought two tickets to the Falcons vs the Jets even though neither wanted to see the what?
"['A) accidental', 'B) detestable', 'C) effusive', 'D) enabled', 'E) apathetic']",C,James noticed that his penis was bigger. .  How might he act toward his plastic surgeon?
"['A) methods of facts', 'B) teach courses', 'C) wear wrinkled tweed jackets', 'D) school students', 'E) state facts']",D,Who do professors work with?
"['A) intertidal zone', 'B) coral sea', 'C) under water', 'D) flower bed', 'E) florida keys']",D,Colorful anemone look somewhat like what object you find on window sills?
"['A) outer space', 'B) weekly world news', 'C) roswell', 'D) universe', 'E) mars']",A,From where do aliens arrive?
"['A) had a party', 'B) were thirsty', 'C) refreshment', 'D) getting drunk', 'E) celebrating']",B,"The hikers stopped to have a drink, simply put they what?"
"['A) apply for job', 'B) sleep', 'C) concentrate', 'D) shower', 'E) just do']",D,When you get up in the morning before you begin work you should do what?
"['A) living room', 'B) floor', 'C) warm place', 'D) carpet', 'E) farmhouse']",B,"The kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?"
"['A) complete collection', 'B) own house', 'C) procrastinate', 'D) explode', 'E) have to hold']",E,If a person is trying to keep something in their hand what should they do?
"['A) field', 'B) neighborhood', 'C) star can', 'D) city or town', 'E) apartment building']",D,Where could you find hundreds of thousands of home?
"['A) sore muscles', 'B) errors', 'C) happiness', 'D) injury', 'E) fun']",D,"Playing baseball is a lot like any other sport, there is always a risk of what?"
"['A) drive in movie', 'B) drive in movie', 'C) television', 'D) video store', 'E) show']",C,If I want to watch a movie without leaving my home what might I use?
"['A) testify', 'B) runaway', 'C) witness', 'D) tell truth', 'E) go home']",A,"The victim was to take stand today, they were going to do what?"
"['A) cleanliness', 'B) mistakes', 'C) growth', 'D) satisfaction', 'E) late']",D,What does a successful dog grooming session likely to make a owner feel?
"['A) near finish line', 'B) finish', 'C) get tired', 'D) gain ground', 'E) trip over']",D,"The runner was in third place, but he pushed harder and thought he might be able to reach second.  What was beginning to do?"
"['A) west virginia', 'B) kentucky', 'C) rocky hills', 'D) scotland', 'E) canyon']",B,"The tourist entered Mammoth cave, what state were they in?"
"['A) horror', 'B) anxiety and fear', 'C) rejection', 'D) increased workload', 'E) being employed']",B,What does someone typically feel when applying for a job?
"['A) prosecution', 'B) getting hurt', 'C) sweat', 'D) steam', 'E) committing perjury']",E,"He was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?"
"['A) tears', 'B) please', 'C) like', 'D) thank', 'E) make happy']",E,What kind of feelings does buying presents for others create?
"['A) countryside', 'B) great plains', 'C) encyclopedia', 'D) jungle', 'E) north america']",A,What green area is a marmot likely to be found in?
"['A) later', 'B) updated', 'C) still', 'D) resistance', 'E) now']",D,"Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?"
"['A) lower expectations', 'B) encourage', 'C) fear', 'D) time test', 'E) tell story']",E,What does a kindergarten teacher do before nap time?
"['A) friend', 'B) family', 'C) known person', 'D) park', 'E) outsider']",B,"Sam was a stranger.  Even so, Mark treated him like what?"
"['A) closed room', 'B) sky', 'C) dard', 'D) his grave', 'E) house']",A,"Bob's only light source was a small bulb.  There were four walls, if there was a door he couldn't see it.  What was Bob in?"
"['A) manual', 'B) process information', 'C) power down', 'D) control model', 'E) reason exists']",D,James thought of criminal justice like a computer program.  It need to work right.   What ideas might James not like?
"['A) slot machine', 'B) ticket machine', 'C) bank machine', 'D) telephone', 'E) automated teller']",E,With the card slot lit up he knew how to get started finding his balance with what?
"['A) wash your clothes', 'B) get in shape', 'C) practice', 'D) take off uniform', 'E) stretch']",C,To play sports professionally you must do what very often?
"['A) motion', 'B) stretch', 'C) exercise', 'D) movement', 'E) muscles']",C,Some people prefer releasing energy through work while others prefer to release it through what?
"['A) grope', 'B) acknowledgment', 'C) comfortable clothes', 'D) ipod', 'E) passionate kisses']",C,What will a person going for a jog likely be wearing?
"['A) patience', 'B) falling down', 'C) literacy', 'D) buying', 'E) knowing how to read']",E,"The child pretended he was reading newspaper, he couldn't actually do it without what?"
"['A) satisfaction', 'B) complications', 'C) train', 'D) feel good about yourself', 'E) enjoyment']",A,Jenny enjoyed helping people.  It brought her a great deal of what?
"['A) feminism', 'B) sanitation', 'C) ruined', 'D) wrinkles', 'E) buttons to fall off']",B,What might someone believe in if they are cleaning clothes?
"['A) eat cake', 'B) closet', 'C) church', 'D) office building', 'E) own house']",D,Where would you find a basement that can be accessed with an elevator?
"['A) learn how to', 'B) have a friend', 'C) knowledge', 'D) take class', 'E) have computer']",D,In order to learn to program from another person you can do what?
"['A) body of animal', 'B) arm', 'C) bodybuilder', 'D) body of dog', 'E) human body']",E,"He was at the gym trying to build muscle, what is it called that he is trying to build muscle on?"
"['A) dirt', 'B) no neurons in', 'C) millions of cells', 'D) flowers on', 'E) roots']",D,What part of plants is pretty?
"['A) food', 'B) relaxation', 'C) killing', 'D) missing morning cartoons', 'E) boredom']",B,"The man was going fishing instead of work, what is he seeking?"
"['A) backyard', 'B) rock', 'C) mine', 'D) cherry', 'E) peach']",E,What could you get an unsmooth pit from?
"['A) initiate', 'B) ignore', 'C) question', 'D) answer', 'E) ask']",A,"The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to?"
"['A) question authority', 'B) act fool', 'C) wash dishes', 'D) act innocent', 'E) forget']",E,"I couldn't find anybody who recalled the event, what were they adroit at doing?"
"['A) mansion', 'B) every house', 'C) own home', 'D) table', 'E) restaurant']",A,Where would you find a large dining room containing a fancy chandelier?
"['A) back yard', 'B) bowling alley', 'C) city', 'D) military base', 'E) fashion show']",D,"The extremely large cargo plane could only land at a specialized runway, these were only located at a what?"
"['A) bedroom', 'B) movie theater', 'C) bowling alley', 'D) church', 'E) office']",C,"The carpet was smelly and discouraged the league from playing there, where was this smelly carpet installed?"
"['A) brooklyn', 'B) ring', 'C) subdivision', 'D) bricks', 'E) new york city']",B,How can someone be let into a brownstone?
"['A) music class', 'B) college', 'C) music store', 'D) music room', 'E) music band']",C,Where would someone purchase an upright piano?
"['A) living room', 'B) parlor', 'C) furniture store', 'D) basement', 'E) kitchen']",A,Where would you keep an ottoman near your front door?
"['A) going somewhere', 'B) splats', 'C) cancer', 'D) getting wet', 'E) spinal injuries']",E,Diving into backyard pools can be very dangerous and can lead to serious head and what?
"['A) tropical forest', 'B) oregon', 'C) woods', 'D) pet store', 'E) louisiana']",D,Where would one find a snake in a cage?
"['A) end of line', 'B) buildings', 'C) apartment', ""D) neighbor's house"", 'E) address']",A,Where are people likely to become impatient?
"['A) winning', 'B) passing', 'C) completing', 'D) do well', 'E) succeeding']",C,"When you fail to finish something, you failed at doing what to it"
"['A) shapeless', 'B) quality', 'C) function', 'D) change shape', 'E) chaos']",C,John didn't care about style.  He felt that form was less important than what?
"['A) see what happens', 'B) enjoy stories', 'C) pass time', 'D) have fun', 'E) interesting']",D,"When you get together with friends to watch film, you might do plenty of this?"
"['A) strip mall', 'B) city or town', 'C) shoppingcentre', 'D) boutique', 'E) vermont']",A,A supermarket is uncommon in what type of collection of shops?
"['A) music store', 'B) assay office', 'C) tidal wave', 'D) butcher shop', 'E) bathroom']",D,"Bill puts meat on the scale, where does Bill work?"
"['A) zoo', 'B) pan', 'C) bowl', 'D) kitchen', 'E) spoon']",E,"I'm having some food at my party, what will I need to serve it?"
"['A) learn to walk', 'B) walking', 'C) walk slowly', 'D) breathe', 'E) stand still']",E,Before racers start to run they must do what at the starting line?
"['A) mask', 'B) branch out', 'C) wear costume', 'D) pretend', 'E) sing songs']",B,What does an actor do when they are bored of their roles?
"['A) mortal', 'B) dying', 'C) death', 'D) dead', 'E) mortal']",E,What is a person called who doesn't have immortality?
"['A) headache', 'B) laughter', 'C) laziness', 'D) erections', 'E) wasting time']",C,Why would you be watching tv instead of doing something else?
"['A) broken jaw', 'B) sore mouth', 'C) eating', 'D) good digestion', 'E) avoiding choking']",B,"If chewing food is difficult for you, what is a possible reason?"
"['A) music store', 'B) band', 'C) medium', 'D) orchestra', 'E) piano store']",D,"He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?"
"['A) floral arrangement', 'B) ground', 'C) forrest', 'D) field', 'E) compost pile']",C,Where do you find the most amount of leafs?
"['A) meadow', 'B) play room', 'C) surface of earth', 'D) zoos', 'E) fairgrounds']",E,Where can children play with animals?
"['A) mulberry bush', 'B) animated film', 'C) chicken coop', 'D) history book', ""E) children's story""]",E,What kind of tale might feature a talking weasel?
"['A) outside', 'B) world', 'C) protection', 'D) colorado', 'E) america']",C,What kind of status is the bald eagle given?
"['A) need to', 'B) hungry', 'C) feel more energetic', 'D) weak', 'E) regenerate']",C,Why do most people take a quick rest during the day?
"['A) mushroom', 'B) falling down', 'C) sweating', 'D) exhaustion', 'E) getting tired']",B,What could suddenly stop someone when he or she is running?
"['A) zoo', 'B) barrel', 'C) research laboratory', 'D) captivity', 'E) thailand']",E,Where would you find a monkey in the wild?
"['A) tropical jungle', 'B) manual', 'C) work', 'D) transit', 'E) countryside']",A,Where could a sloth live?
"['A) club', 'B) assembly hall', 'C) meditation center', 'D) meeting', 'E) church']",A,"A gentleman is carrying equipment for golf, what is he likely to have?"
"['A) lawn', 'B) kids', 'C) asshole', 'D) spain', 'E) office complex']",A,"If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?"
"['A) classroom', 'B) facebook', 'C) school', 'D) apartment', 'E) demonstration']",E,"The computer was difficult for he to understand at the store, so what did she sign up for to learn more?"
"['A) go fast', 'B) start running', 'C) going too fast', 'D) look good', 'E) last several years']",E,"If you take the risk buying a used car, you still hope it can what?"
"['A) eat', 'B) think', 'C) reading', 'D) meditate', 'E) fall asleep']",E,"Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?"
"['A) cost money', 'B) slow down', 'C) move people', 'D) turn right', 'E) get girls']",C,What is the primary purpose of cars?
"['A) united states', 'B) deep south', 'C) floribama', 'D) gulf states', 'E) florabama']",A,"Alabama is full of different people, but they are all citizens of what?"
"['A) set', 'B) fall', 'C) park', 'D) descend', 'E) reduce']",E,They were hoping their campaign would create a rise in awareness of the problem and hopefully do what to its effect?
"['A) slow down', 'B) crash', 'C) speed up', 'D) land', 'E) carry people']",A,What do airplanes do as they are arriving at the gate?
"['A) managed', 'B) dancing', 'C) recur', 'D) effectively treated', 'E) cause suffering']",C,If a person with mental illness stops treatment what will likely happen?
"['A) sick', 'B) mammals', 'C) males', 'D) bite', 'E) attack']",E,The gimmicky low brow TV show was about animals when they what?
"['A) museum', 'B) house', 'C) laboratory', 'D) library', 'E) industrial area']",E,"A loud machine is irritating, but many are expected where?"
"['A) drawer', 'B) desk', 'C) the backside', 'D) office', 'E) measure distance']",A,What part of a table would you put a ruler in?
"['A) strong feelings', 'B) herpes', 'C) shortness of breath', 'D) excitement', 'E) arousal']",C,What happens if someone kisses too long?
"['A) sky', 'B) house', 'C) lamp', 'D) match', 'E) candle']",C,"If I have a modern light source in my living room, what is it likely to be?"
"['A) smell smoke', 'B) cross street', 'C) cry', 'D) bank savings', 'E) look angry']",E,"The person saw the mess his children made, what was his following reaction?"
"['A) blind person', 'B) glove box', 'C) movie studio', 'D) ray charles', 'E) glove compartment']",A,Who might wear dark glasses indoors?
"['A) quarries', 'B) field', 'C) park', 'D) bridge', 'E) made from rocks']",B,Where would stones not be arranged in a path?
"['A) rural area', 'B) book', 'C) canada', 'D) painting', 'E) aviary']",D,A bald eagle is likely to be found on what kind of work?
"['A) group people', 'B) ready parlor for guests', 'C) welcome guests', 'D) work room', 'E) park']",C,"The hostess was good at her job, she always had a smile when she would what?"
"['A) overconfidence', 'B) effectiveness', 'C) knowing more', 'D) head grows larger', 'E) growth']",C,What is likely to happen to someone who is learning?
"['A) compliance', 'B) eligible', 'C) contract', 'D) harmony', 'E) friendship']",A,"The inspector was agreeing with the factory protocols, what was the status of the factory?"
