label,question,choices
german shepherd,Which of these animals is the larger one?,"['german shepherd', 'ant']"
reindeer,Which of these animals is the larger one?,"['owl', 'reindeer']"
anaconda,Which of these animals is the larger one?,"['anaconda', 'northern pike']"
blue whale,Which of these animals is the larger one?,"['blue whale', 'cod']"
border collie,Which of these animals is the larger one?,"['border collie', 'shih tzu']"
alligator,Which of these animals is the larger one?,"['baboons', 'alligator']"
alligator,Which of these animals is the larger one?,"['cod', 'alligator']"
rottweiler,Which of these animals is the larger one?,"['owl', 'rottweiler']"
walrus,Which of these animals is the larger one?,"['walrus', 'bobcat']"
cod,Which of these animals is the larger one?,"['cod', 'pomeranian']"
blue whale,Which of these animals is the larger one?,"['mirror carp', 'blue whale']"
cod,Which of these animals is the larger one?,"['northern pike', 'cod']"
blue whale,Which of these animals is the larger one?,"['blue whale', 'baboons']"
blue whale,Which of these animals is the larger one?,"['blue whale', 'penguin']"
blue whale,Which of these animals is the larger one?,"['blue whale', 'ant']"
alligator,Which of these animals is the larger one?,"['sheep', 'alligator']"
giant squid,Which of these animals is the larger one?,"['giant squid', 'shih tzu']"
giant squid,Which of these animals is the larger one?,"['giant squid', 'hamster']"
cod,Which of these animals is the larger one?,"['cod', 'penguin']"
rottweiler,Which of these animals is the larger one?,"['salmon', 'rottweiler']"
owl,Which of these animals is the larger one?,"['pomeranian', 'owl']"
reindeer,Which of these animals is the larger one?,"['ant', 'reindeer']"
humpback whale,Which of these animals is the larger one?,"['ant', 'humpback whale']"
giant squid,Which of these animals is the larger one?,"['penguin', 'giant squid']"
walrus,Which of these animals is the larger one?,"['walrus', 'hamster']"
cod,Which of these animals is the larger one?,"['cod', 'ant']"
giant squid,Which of these animals is the larger one?,"['giant squid', 'owl']"
bobcat,Which of these animals is the larger one?,"['hamster', 'bobcat']"
german shepherd,Which of these animals is the larger one?,"['german shepherd', 'northern pike']"
giant squid,Which of these animals is the larger one?,"['giant squid', 'border collie']"
reindeer,Which of these animals is the larger one?,"['reindeer', 'baboons']"
salmon,Which of these animals is the larger one?,"['salmon', 'pomeranian']"
alligator,Which of these animals is the larger one?,"['salmon', 'alligator']"
alligator,Which of these animals is the larger one?,"['ant', 'alligator']"
german shepherd,Which of these animals is the larger one?,"['owl', 'german shepherd']"
walrus,Which of these animals is the larger one?,"['northern pike', 'walrus']"
alligator,Which of these animals is the larger one?,"['alligator', 'northern pike']"
blue whale,Which of these animals is the larger one?,"['blue whale', 'hamster']"
anaconda,Which of these animals is the larger one?,"['anaconda', 'pomeranian']"
northern pike,Which of these animals is the larger one?,"['ant', 'northern pike']"
german shepherd,Which of these animals is the larger one?,"['german shepherd', 'pomeranian']"
alligator,Which of these animals is the larger one?,"['hamster', 'alligator']"
alligator,Which of these animals is the larger one?,"['alligator', 'shih tzu']"
humpback whale,Which of these animals is the larger one?,"['humpback whale', 'salmon']"
anaconda,Which of these animals is the larger one?,"['sheep', 'anaconda']"
alligator,Which of these animals is the larger one?,"['alligator', 'bobcat']"
reindeer,Which of these animals is the larger one?,"['hamster', 'reindeer']"
brown bear,Which of these animals is the larger one?,"['penguin', 'brown bear']"
humpback whale,Which of these animals is the larger one?,"['humpback whale', 'border collie']"
walrus,Which of these animals is the larger one?,"['walrus', 'salmon']"
giant squid,Which of these animals is the larger one?,"['giant squid', 'salmon']"
brown bear,Which of these animals is the larger one?,"['pomeranian', 'brown bear']"
cod,Which of these animals is the larger one?,"['cod', 'mirror carp']"
anaconda,Which of these animals is the larger one?,"['anaconda', 'owl']"
border collie,Which of these animals is the larger one?,"['border collie', 'pomeranian']"
baboons,Which of these animals is the larger one?,"['baboons', 'penguin']"
brown bear,Which of these animals is the larger one?,"['northern pike', 'brown bear']"
shih tzu,Which of these animals is the larger one?,"['pomeranian', 'shih tzu']"
blue whale,Which of these animals is the larger one?,"['owl', 'blue whale']"
anaconda,Which of these animals is the larger one?,"['salmon', 'anaconda']"
brown bear,Which of these animals is the larger one?,"['brown bear', 'cod']"
brown bear,Which of these animals is the larger one?,"['brown bear', 'salmon']"
border collie,Which of these animals is the larger one?,"['border collie', 'salmon']"
