prompt,response,ground_truth
" Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ","<think>
First, I need to determine the total number of shirts Oliver had to wash. He had to wash both short sleeve and long sleeve shirts.

He had to wash 39 short sleeve shirts and 47 long sleeve shirts. So, the total number of shirts is 39 plus 47, which equals 86 shirts in total.

By the time school started, Oliver had only washed 20 of these shirts. To find out how many shirts he did not wash, I subtract the number of shirts he washed from the total number of shirts.

So, 86 total shirts minus 20 shirts washed equals 66 shirts that were not washed.
</think>

To determine how many shirts Oliver **did not** wash, follow these steps:

1. **Calculate the total number of shirts Oliver had to wash:**
   
   \[
   \text{Total shirts} = \text{Short sleeve shirts} + \text{Long sleeve shirts}
   \]
   
   \[
   \text{Total shirts} = 39 + 47 = 86
   \]

2. **Subtract the number of shirts he washed from the total:**
   
   \[
   \text{Shirts not washed} = \text{Total shirts} - \text{Washed shirts}
   \]
   
   \[
   \text{Shirts not washed} = 86 - 20 = 66
   \]

**Final Answer:**

\[
\boxed{66}
\]",66
 For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,"<think>
First, I need to determine the total number of pastries Wendy made by adding the cupcakes and cookies together.

She made 4 cupcakes and 29 cookies, so the total is 4 + 29 = 33 pastries.

Next, after the sale, she had 24 pastries left that she took back home. This means she sold all but 24 of her baked goods.

To find out how many pastries she sold, I subtract the number of pastries she took back from the total number she made: 33 - 24 = 9.

Therefore, Wendy sold a total of 9 pastries.
</think>

Let's determine how many pastries Wendy sold step by step.

1. **Calculate the Total Number of Pastries Baked:**
   
   Wendy baked:
   - **Cupcakes:** 4
   - **Cookies:** 29
   
   \[
   \text{Total Pastries} = 4 + 29 = 33
   \]

2. **Determine the Number of Pastries Left After the Sale:**
   
   After the sale, Wendy had:
   - **Pastries Taken Back:** 24

3. **Find Out How Many Pastries Were Sold:**
   
   To find out how many pastries were sold, subtract the number taken back from the total baked:

   \[
   \text{Pastries Sold} = \text{Total Pastries} - \text{Pastries Taken Back}
   \]
   
   \[
   \text{Pastries Sold} = 33 - 24 = 9
   \]

**Final Answer:**

\[
\boxed{9}
\]",9
" While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ","<think>
First, I need to determine the total number of pictures Debby took during her vacation. She took 24 pictures at the zoo and 12 at the museum.

Next, I'll add these two quantities together to find the overall total: 24 + 12 = 36 pictures.

After that, I know that she deleted 14 of these pictures. To find out how many pictures are left, I'll subtract the number of deleted pictures from the total: 36 - 14 = 22 pictures.

Therefore, Debby still has 22 pictures remaining after deleting some.
</think>

To determine how many pictures Debby still has after deleting some, follow these steps:

1. **Calculate the total number of pictures taken:**
   
   \[
   \text{Total pictures} = \text{Pictures at the zoo} + \text{Pictures at the museum}
   \]
   
   \[
   \text{Total pictures} = 24 + 12 = 36
   \]

2. **Subtract the number of deleted pictures:**
   
   \[
   \text{Pictures remaining} = \text{Total pictures} - \text{Deleted pictures}
   \]
   
   \[
   \text{Pictures remaining} = 36 - 14 = 22
   \]

**Final Answer:**  
\boxed{22}",22
" Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ","<think>
First, I need to determine the total number of flowers Katie picked by adding the number of tulips and roses together.

Next, since she only used 10 flowers out of the total, I'll subtract the number of flowers she actually used from the total number of flowers to find out how many were left unused.
</think>

**Solution:**

Katie picked a total of **3 tulips** and **9 roses**, which gives us:

\[
3 \text{ (tulips)} + 9 \text{ (roses)} = 12 \text{ (total flowers)}
\]

She used only **10 flowers**. To find out how many extra flowers she picked, we subtract the number of flowers she used from the total:

\[
12 \text{ (total flowers)} - 10 \text{ (used flowers)} = 2 \text{ (extra flowers)}
\]

**Final Answer:**

\boxed{2}",2
" Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ","<think>
Faye started with a total of 46 math problems and 9 science problems.

She completed 40 problems during her homework session.

To find out how many problems she had left, I subtract the number of problems she finished from the total number of problems she had.

So, 46 + 9 = 55 (total problems)
55 - 40 = 15

Faye had to do 15 problems for homework.
</think>

**Solution:**

Faye started with a total of **46 math problems** and **9 science problems**. 

She finished **40 problems** at school.

To find out how many problems she had left, subtract the number of problems she completed from the total number of problems:

\[
\text{Total Problems} = 46 \ (\text{math}) + 9 \ (\text{science}) = 55
\]

\[
\text{Problems Left} = \text{Total Problems} - \text{Problems Completed} = 55 - 40 = 15
\]

**Final Answer:**

Faye had to do \(\boxed{15}\) problems for homework.",15
" Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ","<think>
First, I need to determine the total number of files Amy initially had on her flash drive. She had 4 music files and 21 video files.

Next, I'll calculate the total number of files by adding these two quantities together: 4 + 21 = 25 files in total.

Then, Amy deleted 23 of these files. To find out how many files are left, I'll subtract the number of deleted files from the initial total: 25 - 23 = 2 files remaining on her flash drive.
</think>

**Solution:**

1. **Determine the total number of files initially on the flash drive:**
   
   Amy has:
   - 4 music files
   - 21 video files
   
   Total files = 4 + 21 = \(\boxed{25}\) files.

2. **Calculate the number of files deleted:**
   
   Amy deleted 23 files.
   
3. **Find the remaining number of files on the flash drive:**
   
   Remaining files = Total files - Deleted files
                     = 25 - 23
                     = \(\boxed{2}\) files.

**Final Answer:**  
\(\boxed{2}\)",2
" Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ","<think>
First, I need to determine the total number of games Ned purchased. He initially bought 11 games from his friend and then another 22 games at a garage sale. Adding these together gives a total of 33 games.

Next, out of these 33 games, 19 did not work. To find out how many games are good, I subtract the number of non-working games from the total number of games purchased. 

So, 33 total games minus 19 non-working games equals 14 working games.
</think>

Let's determine how many good games Ned ended up with step by step.

1. **Total Games Purchased:**
   - Games bought from a friend: \( 11 \)
   - Games bought at a garage sale: \( 22 \)
   
   \[
   \text{Total games} = 11 + 22 = 33
   \]

2. **Non-Working Games:**
   - Number of games that didn't work: \( 19 \)

3. **Good Games Calculation:**
   
   \[
   \text{Good games} = \text{Total games} - \text{Non-working games} = 33 - 19 = 14
   \]

**Final Answer:**  
\boxed{14}",14
 Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? ,"<think>
First, I need to determine Chloe's total score after all rounds.

She scored 40 points in the first round and 50 points in the second round. Adding these together gives a subtotal of 90 points.

In the last round, she lost 4 points. This means we subtract 4 from the subtotal.

Finally, I'll calculate the total points by subtracting the lost points from the subtotal.
</think>

Let's determine Chloe's final score step by step.

1. **First Round Score:**
   \[
   40 \text{ points}
   \]

2. **Second Round Score:**
   \[
   50 \text{ points}
   \]

3. **Total After Two Rounds:**
   \[
   40 + 50 = 90 \text{ points}
   \]

4. **Score in the Last Round:**
   \[
   -4 \text{ points} \quad (\text{Chloe lost 4 points})
   \]

5. **Final Total Score:**
   \[
   90 - 4 = 86 \text{ points}
   \]

\[
\boxed{86}
\]",86
" At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ","<think>
First, I need to determine the total number of tickets Tom has by adding the tickets he won from both games. He won 32 tickets from 'whack a mole' and 25 tickets from 'skee ball'. Adding these together gives 32 + 25 = 57 tickets.

Next, Tom spent 7 tickets on a hat. To find out how many tickets he has left, I subtract the number of tickets he used from his total. So, 57 - 7 = 50 tickets remain.

Therefore, after buying the hat, Tom has 50 tickets left.
</think>

**Solution:**

Tom won a total number of tickets by adding the ones he got from both games:

\[
32 \text{ (whack a mole)} + 25 \text{ (skee ball)} = 57 \text{ tickets}
\]

Tom spent 7 tickets on a hat, so we subtract those:

\[
57 \text{ tickets} - 7 \text{ tickets} = 50 \text{ tickets}
\]

**Final Answer:**

\[
\boxed{50}
\]",50
" Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ","<think>
First, I need to determine the total number of carrots picked by both Bianca and her mom.

Bianca picked 26 carrots, and her mom picked 15 carrots. So, the total number of carrots is 26 plus 15, which equals 41 carrots.

Next, it's given that only 16 of these carrots were good. To find out how many bad carrots there are, I subtract the number of good carrots from the total number of carrots.

So, 41 total carrots minus 16 good carrots equals 25 bad carrots.
</think>

**Solution:**

To determine the number of bad carrots, follow these steps:

1. **Calculate the total number of carrots picked:**
   
   Bianca picked **26** carrots, and her mom picked **15** carrots.

   \[
   \text{Total Carrots} = 26 + 15 = 41
   \]

2. **Determine the number of good carrots:**
   
   It's given that only **16** of the carrots were good.

3. **Find the number of bad carrots:**
   
   Subtract the number of good carrots from the total number of carrots to find the number of bad carrots.

   \[
   \text{Bad Carrots} = \text{Total Carrots} - \text{Good Carrots} = 41 - 16 = 25
   \]

**Final Answer:**

\[
\boxed{25}
\]",25
 For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? ,"<think>
First, I need to determine the total number of pastries Katie made by adding the cupcakes and cookies she baked.

Katie made 7 cupcakes and 5 cookies, so the total is 7 + 5 = 12 pastries.

She had 8 pastries left after the sale. To find out how many she sold, I subtract the remaining pastries from the total number of pastries made.

So, 12 - 8 = 4 pastries were sold.
</think>

Let's determine how many pastries Katie sold step by step.

**Step 1: Calculate the Total Number of Pastries Baked**

Katie baked:
- **7 cupcakes**
- **5 cookies**

Total pastries baked = Number of cupcakes + Number of cookies  
\[
\text{Total pastries} = 7 \, \text{cupcakes} + 5 \, \text{cookies} = 12 \, \text{pastries}
\]

**Step 2: Determine the Number of Pastries Left After the Sale**

After the sale:
- **8 pastries were taken back home**

Total pastries left = 8

**Step 3: Calculate the Number of Pastries Sold**

Number of pastries sold = Total pastries baked - Total pastries left  
\[
\text{Pastries sold} = 12 \, \text{pastries} - 8 \, \text{pastries} = 4 \, \text{pastries}
\]

**Final Answer:**

Katie sold \(\boxed{4}\) pastries.",4
 Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? ,"<think>
First, I need to determine the total number of pictures in both coloring books combined. Since each book has 44 pictures, adding them together gives a total of 88 pictures.

Next, I'll calculate how many pictures Zoe has already colored. She has colored 20 pictures from one book and another 20 pictures from the other book, totaling 40 pictures that she's completed so far.

Finally, to find out how many pictures she still needs to color, I subtract the number of pictures she's done from the total number of pictures. This means Zoe has 88 - 40 = 48 pictures left to color.
</think>

To determine how many pictures Zoe still needs to color, follow these steps:

1. **Calculate the total number of pictures:**
   \[
   44 \text{ (from first book)} + 44 \text{ (from second book)} = 88 \text{ pictures}
   \]

2. **Determine how many pictures Zoe has already colored:**
   \[
   20 \text{ (from first book)} + 20 \text{ (from second book)} = 40 \text{ pictures}
   \]

3. **Subtract the number of pictures already colored from the total:**
   \[
   88 \text{ (total pictures)} - 40 \text{ (colored pictures)} = 48 \text{ pictures remaining}
   \]

**Final Answer:**  
\boxed{48}",68
" John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? ","<think>
First, I need to determine the total number of games John purchased. He initially bought 21 games from his friend and an additional 8 games at a garage sale. Adding these together gives a total of 29 games.

Next, out of these 29 games, 23 did not work. To find the number of good games, I subtract the number of non-working games from the total number of games purchased. This calculation results in 6 good games.
</think>

**Solution:**

1. **Total Games Purchased:**
   
   - Games bought from a friend: \( 21 \)
   - Games bought at a garage sale: \( 8 \)
   
   \[
   \text{Total games} = 21 + 8 = 29
   \]

2. **Number of Good Games:**
   
   - Total games purchased: \( 29 \)
   - Non-working games: \( 23 \)
   
   \[
   \text{Good games} = \text{Total games} - \text{Non-working games} = 29 - 23 = 6
   \]

**Final Answer:**  
\boxed{6}",6
 Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? ,"<think>
First, I need to determine how much money Henry has after receiving his birthday gift.

He initially had \$11 and received an additional \$18, so the total amount before any spending is calculated by adding these two amounts together: \$11 + \$18 = \$29.

Next, Henry spent \$10 on a new game. To find out how much money he has left after this purchase, I subtract the cost of the game from the total amount he had: \$29 - \$10 = \$19.

Therefore, after receiving his birthday gift and spending on the game, Henry now has \$19.
</think>

**Solution:**

Henry starts with **\$11**. He receives an additional **\$18** for his birthday. To find out how much money he has after this addition, we add these two amounts together:

\[
\$11 + \$18 = \$29
\]

Next, Henry spends **\$10** on a new game. To determine how much money he has left after the purchase, we subtract the cost of the game from the total amount he had:

\[
\$29 - \$10 = \$19
\]

Therefore, after receiving his birthday gift and spending on the game, Henry now has:

\[
\boxed{19}
\]",19
" While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? ","<think>
First, I need to determine the total number of pictures Gwen took during her vacation. She took 41 pictures at the zoo and 29 pictures at the museum.

Next, I'll add these two quantities together to find the overall total: 41 + 29 = 70 pictures.

After that, Gwen deleted 15 of the pictures she took. To find out how many pictures she still has, I'll subtract the number of deleted pictures from the total: 70 - 15 = 55 pictures.

Therefore, Gwen still has 55 pictures remaining after deleting some.
</think>

To determine how many pictures Gwen still has after deleting some, follow these steps:

1. **Calculate the total number of pictures taken:**
   
   \[
   \text{Total pictures} = \text{Pictures at the zoo} + \text{Pictures at the museum}
   \]
   
   \[
   \text{Total pictures} = 41 + 29 = 70
   \]

2. **Subtract the number of deleted pictures:**
   
   \[
   \text{Pictures remaining} = \text{Total pictures} - \text{Deleted pictures}
   \]
   
   \[
   \text{Pictures remaining} = 70 - 15 = 55
   \]

3. **Final Answer:**

\[
\boxed{55}
\]",55
" Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ","<think>
First, I need to determine the total number of shirts Sam had to wash. He was supposed to wash 40 short sleeve shirts and 23 long sleeve shirts.

Next, I'll add these two quantities together: 40 + 23 = 63 shirts in total.

Sam only managed to wash 29 of these shirts by the time school started.

To find out how many shirts he did not wash, I'll subtract the number of shirts he washed from the total number of shirts: 63 - 29 = 34 shirts.

Therefore, Sam did not wash 34 shirts.
</think>

**Solution:**

Sam needed to wash a total number of shirts equal to the sum of short sleeve and long sleeve shirts:

\[
\text{Total shirts} = \text{Short sleeve shirts} + \text{Long sleeve shirts} = 40 + 23 = 63
\]

By the time school started, Sam had only washed 29 shirts. To find out how many shirts he did **not** wash:

\[
\text{Unwashed shirts} = \text{Total shirts} - \text{Washed shirts} = 63 - 29 = 34
\]

\[
\boxed{34}
\]",34
 A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? ,"<think>
First, I need to determine the total number of cats in the pet store initially.

The store has 12 Siamese cats and 20 House cats. Adding these together gives:

12 + 20 = 32 cats

During the sale, the pet store sold a total of 20 cats. To find out how many cats are left after the sale, I subtract the number of cats sold from the initial total:

32 - 20 = 12 cats

Therefore, there are 12 cats remaining in the pet store.
</think>

To determine how many cats are left in the pet store after the sale, follow these steps:

1. **Calculate the Total Number of Cats Initially:**
   
   The store has:
   - **Siamese Cats:** 12
   - **House Cats:** 20
   
   \[
   \text{Total Cats} = 12 + 20 = 32
   \]

2. **Subtract the Number of Cats Sold:**
   
   During the sale, they sold:
   
   \[
   20 \text{ cats}
   \]
   
   So,
   
   \[
   \text{Cats Left} = 32 - 20 = 12
   \]

**Final Answer:**

\[
\boxed{12}
\]",12
" Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? ","<think>
First, I need to determine the total number of carrots picked by Faye and her mother.

Faye picked 23 carrots, and her mom picked 5 carrots. So, the total number of carrots is 23 plus 5, which equals 28 carrots.

Next, it's given that only 12 of these carrots were good. To find out how many bad carrots there are, I subtract the number of good carrots from the total number of carrots.

So, 28 total carrots minus 12 good carrots equals 16 bad carrots.
</think>

**Solution:**

To determine the number of bad carrots, follow these steps:

1. **Calculate the total number of carrots picked:**
   
   Faye picked **23** carrots, and her mother picked **5** carrots.
   
   \[
   \text{Total Carrots} = 23 + 5 = 28
   \]

2. **Determine the number of good carrots:**
   
   It's given that only **12** of the carrots were good.

3. **Find the number of bad carrots:**
   
   Subtract the number of good carrots from the total number of carrots.
   
   \[
   \text{Bad Carrots} = \text{Total Carrots} - \text{Good Carrots} = 28 - 12 = 16
   \]

**Final Answer:**

\[
\boxed{16}
\]",16
" The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? ","<think>
First, I need to determine the total number of apples ordered by calculating the sum of red and green apples.

Next, since only 2 students wanted fruit, I'll subtract this number from the total to find out how many extra apples were obtained.
</think>

**Solution:**

We need to find out how many extra apples the cafeteria ended up with after serving only 2 students. Here's a step-by-step breakdown:

1. **Calculate the total number of apples ordered:**
   
   \[
   \text{Total Apples} = \text{Red Apples} + \text{Green Apples}
   \]
   
   Given:
   
   - Red Apples = 43
   - Green Apples = 32
   
   So,
   
   \[
   \text{Total Apples} = 43 + 32 = 75
   \]

2. **Determine the number of apples served to students:**
   
   Since only 2 students wanted fruit, we assume each student received one apple.
   
   \[
   \text{Apples Served} = 2
   \]
   
3. **Calculate the extra apples obtained:**
   
   Subtract the number of apples served from the total number of apples ordered.
   
   \[
   \text{Extra Apples} = \text{Total Apples} - \text{Apples Served}
   \]
   
   Plugging in the numbers:
   
   \[
   \text{Extra Apples} = 75 - 2 = 73
   \]

**Final Answer:**

\[
\boxed{73}
\]",73
" There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ","<think>
First, I need to determine the total number of students who tried out for the basketball team. There are 39 girls and 4 boys, so adding those together gives a total of 43 students.

Next, I know that only 26 students were called back after being selected. To find out how many didn't make the cut, I subtract the number of students who were called back from the total number of students who tried out.

So, 43 minus 26 equals 17.
</think>

To determine how many students didn't make the cut for the basketball team, follow these steps:

1. **Calculate the total number of students who tried out:**
   
   \[
   \text{Total students} = \text{Number of girls} + \text{Number of boys} = 39 + 4 = 43
   \]

2. **Subtract the number of students called back from the total number of students:**
   
   \[
   \text{Students who didn't make the cut} = \text{Total students} - \text{Students called back} = 43 - 26 = 17
   \]

**Final Answer:**  
\boxed{17}",17
